commit,date,file_type,path,package,project,added_lines,commit_size,commit_msg,change_type,commit_index,month
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/Fraction.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,664,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/FractionConversionException.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,51,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/FractionException.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,44,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/FractionField.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,82,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/FractionFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,261,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/FractionOverflowException.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,47,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/FractionParseException.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,38,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/ProperBigFractionFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,235,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/ProperFractionFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,227,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/ZeroDenominatorException.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,53,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/package-info.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,22,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/BigFractionFieldTest.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,43,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/BigFractionFormatTest.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,330,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/BigFractionTest.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,635,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/FractionFieldTest.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,43,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/FractionFormatTest.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,349,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
ca71f3559f3b51804dca33dc895c2b89b846f124,2017-01-28 15:09:10,test,commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/FractionTest.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,625,32,"NUMBERS-6: Create structure for fraction module within commons-numbers.

Add dependencyManagement to parent pom.xml for uniform dependency on numbers core.
Remove version from references to numbers-core in child modules.
Add test jar to numbers core pom.xml to allow for re-use of TestUtils.
Add ArithmeticUtils from commons-math since Fraction, BigFraction heavily depends on it.",ADD,22,2017-01
fe27e8ec9e02ce99ed840d56ab6ecd6303fd2f3f,2017-01-28 19:56:34,prod,commons-numbers-core/src/main/java/org/apache/commons/numbers/core/ArithmeticUtils.java,org/apache/commons/numbers/core,commons-numbers-core,0,11,NUMBERS-6: Remove @since from classes as there has not been a release of common-numbers yet.,MODIFY,23,2017-01
fe27e8ec9e02ce99ed840d56ab6ecd6303fd2f3f,2017-01-28 19:56:34,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/AbstractFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,0,11,NUMBERS-6: Remove @since from classes as there has not been a release of common-numbers yet.,MODIFY,23,2017-01
fe27e8ec9e02ce99ed840d56ab6ecd6303fd2f3f,2017-01-28 19:56:34,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFraction.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,0,11,NUMBERS-6: Remove @since from classes as there has not been a release of common-numbers yet.,MODIFY,23,2017-01
fe27e8ec9e02ce99ed840d56ab6ecd6303fd2f3f,2017-01-28 19:56:34,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFractionField.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,0,11,NUMBERS-6: Remove @since from classes as there has not been a release of common-numbers yet.,MODIFY,23,2017-01
fe27e8ec9e02ce99ed840d56ab6ecd6303fd2f3f,2017-01-28 19:56:34,prod,commons-numbers-fraction/src/main/java/org/apache/commons/numbers/fraction/BigFractionFormat.java,org/apache/commons/numbers/fraction,commons-numbers-fraction,0,11,NUMBERS-6: Remove @since from classes as there has not been a release of common-numbers yet.,MODIFY,23,2017-01
